id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2770-P,60,1866.4687474844975,DYWJD,Paris,New York,USA,Local Pumpkin Festival,1311 V,1128 X,433,1667,16,Rouge Vif d'Etampes,846.6152921089882,heavy
2070-P,50,1820.669665357098,HXUXN,Houston,California,USA,Regional Pumpkin Festival,1953 F,1313 E,426,1616,10,Rouge Vif d'Etampes,825.8411948486568,heavy
2766-P,24,1654.880142133683,TONZB,Chicago,Texas,Canada,Local Pumpkin Festival,1095 R,1430 G,413,1507,6,Rouge Vif d'Etampes,750.6403934307015,heavy
2196-P,38,1540.6504651671275,QBFVB,Nottingham,New York,USA,Local Pumpkin Festival,1552 U,1327 E,413,1441,3,Baby Bear,698.8267257960877,heavy
2892-P,95,1543.3884504605085,PXMUZ,Los Angeles,Florida,Canada,Local Pumpkin Festival,1179 G,1472 I,419,1486,3,Big Moose,700.0686540212829,heavy
2831-P,31,1532.2024222621694,NZWQI,Nottingham,New York,USA,Local Pumpkin Festival,1442 E,1497 T,402,1340,19,Baby Bear,694.994761118742,heavy
2879-P,23,1521.705255205743,SIJHT,New York,Texas,USA,National Pumpkin Festival,1401 E,1768 Y,414,1428,11,Big Moose,690.2333301192833,heavy
2432-P,91,1525.5810536267236,SKBEW,Houston,California,USA,National Pumpkin Festival,1612 W,1835 S,415,1479,4,Marina di Chioggia,691.9913612766528,heavy
2591-P,24,1508.2251841910183,QPDBD,Nottingham,New York,Canada,Local Pumpkin Festival,1179 M,1993 T,439,1700,-15,Rouge Vif d'Etampes,684.1188777475724,heavy
2909-P,84,1505.061688230373,JPOQY,Chicago,Texas,Canada,National Pumpkin Festival,1071 T,1225 I,406,1430,8,Big Moose,682.6839412877913,heavy
2314-P,37,1490.860121395439,DOTES,Paris,Florida,USA,Regional Pumpkin Festival,1288 J,1656 Y,408,1421,7,Baby Bear,676.242224184,heavy
2125-P,10,1473.861416122876,EWXYF,Nottingham,New York,Canada,Regional Pumpkin Festival,1185 Y,1256 C,414,1435,6,Baby Bear,668.5317474620076,heavy
2587-P,52,1466.5116911172868,UTWEV,Chicago,New York,Canada,National Pumpkin Festival,1256 N,1276 G,414,1452,1,Big Moose,665.1979709972724,heavy
2924-P,70,1480.7417645938694,BBUVT,Los Angeles,Texas,Canada,Regional Pumpkin Festival,1340 S,1222 B,417,1515,1,Baby Bear,671.6526184856624,heavy
2488-P,17,1459.190760931,USPXJ,Houston,California,Canada,National Pumpkin Festival,1805 Z,1530 M,391,1266,12,Rouge Vif d'Etampes,661.8772556322142,heavy
2233-P,87,1446.251942679286,ILTVQ,Chicago,Texas,USA,Regional Pumpkin Festival,1212 F,1559 W,402,1336,3,Big Moose,656.0083111837827,heavy
2435-P,12,1459.8026023376733,OVBIR,Nottingham,New York,Canada,Regional Pumpkin Festival,1369 W,1581 F,402,1386,-1,Marina di Chioggia,662.1547819995499,heavy
2559-P,67,1449.8882882632315,QUMLL,Nottingham,Texas,USA,Regional Pumpkin Festival,1604 O,1359 O,413,1487,-5,Rouge Vif d'Etampes,657.6577284498957,heavy
2417-P,68,1439.3512326264754,ZFKWI,Los Angeles,Texas,Canada,Local Pumpkin Festival,1664 G,1071 H,425,1548,-9,Baby Bear,652.8782043095082,heavy
2249-P,41,1444.0474530961365,VFVOP,Houston,Florida,Canada,Regional Pumpkin Festival,1652 W,1338 J,386,1205,24,Marina di Chioggia,655.0083723447827,heavy
2778-P,66,1427.935763893649,IICDK,New York,Texas,USA,National Pumpkin Festival,1828 R,1347 F,402,1367,1,Marina di Chioggia,647.700239016048,heavy
2702-P,91,1420.378476185724,YKRAW,Paris,Texas,USA,Regional Pumpkin Festival,1321 A,1273 Q,392,1273,8,Baby Bear,644.2723137700349,heavy
2769-P,32,1401.0795930391178,YVIDS,New York,Texas,Canada,Local Pumpkin Festival,1260 I,1291 C,390,1309,4,Big Moose,635.5184947657995,heavy
2176-P,8,1410.0379453459757,EKKDD,Nottingham,New York,Canada,National Pumpkin Festival,1644 P,1174 L,399,1367,2,Marina di Chioggia,639.5819317053717,heavy
